block,time_s,raw_az_N,raw_az_S,raw_az_E,raw_az_W,raw_el_N,raw_el_S,raw_el_E,raw_el_W,smooth_az_N,smooth_az_S,smooth_az_E,smooth_az_W,smooth_el_N,smooth_el_S,smooth_el_E,smooth_el_W,centroid_x_m,centroid_y_m,dist_N_m,dist_S_m,dist_E_m,dist_W_m,mean_dist_m
70,64.000,-111.0,-143.0,-150.0,-126.0,17.0,17.0,20.0,13.0,-111.1,-142.9,-149.6,-125.2,15.6,16.9,17.9,12.4,-391.654,-739.029,721.361,666.399,728.882,673.162,697.451
71,64.100,-113.0,-143.0,-152.0,-126.0,16.0,17.0,18.0,13.0,-111.4,-143.0,-149.9,-125.4,15.8,17.0,17.9,12.4,-387.047,-737.004,718.215,663.179,725.646,670.098,694.284
72,64.200,-112.0,-143.0,-151.0,-126.0,15.0,17.0,17.0,13.0,-111.6,-143.0,-149.9,-125.5,15.9,17.0,17.9,12.5,-384.851,-735.051,716.024,660.972,723.424,667.942,692.091
73,64.300,-113.0,-143.0,-151.0,-128.0,16.0,17.0,17.0,13.0,-111.7,-143.0,-150.1,-125.8,16.0,17.0,17.8,12.6,-382.438,-734.719,714.895,659.790,722.238,666.861,690.946
74,64.400,-112.0,-143.0,-151.0,-128.0,15.0,17.0,17.0,13.0,-111.9,-143.0,-150.1,-126.1,16.1,17.0,17.8,12.7,-379.673,-733.123,712.750,657.609,720.043,664.766,688.792
75,64.500,-111.0,-143.0,-149.0,-126.0,17.0,17.0,15.0,14.0,-111.8,-143.0,-150.2,-126.2,16.3,17.0,17.5,12.8,-379.638,-733.031,712.672,657.531,719.965,664.688,688.714
76,64.600,-113.0,-143.0,-150.0,-126.0,18.0,17.0,15.0,14.0,-111.8,-143.0,-150.3,-126.3,16.5,17.0,17.2,13.0,-378.813,-732.181,711.769,656.625,719.052,663.798,687.811
77,64.700,-115.0,-143.0,-152.0,-126.0,19.0,17.0,15.0,14.0,-112.2,-143.0,-150.4,-126.4,16.7,17.0,17.0,13.2,-376.134,-730.960,709.924,654.738,717.153,662.003,685.955
78,64.800,-114.0,-143.0,-151.0,-128.0,18.0,17.0,17.0,13.0,-112.5,-143.0,-150.6,-126.5,16.8,17.0,16.9,13.3,-373.893,-730.904,709.065,653.824,716.237,661.191,685.079
79,64.900,-117.0,-143.0,-153.0,-128.0,18.0,17.0,16.0,13.0,-113.1,-143.0,-151.0,-126.8,16.9,17.0,16.7,13.3,-370.725,-734.277,710.302,654.915,717.347,662.512,686.269
80,65.000,-117.0,-143.0,-152.0,-129.0,17.0,17.0,15.0,14.0,-113.7,-143.0,-151.2,-127.1,16.9,17.0,16.2,13.4,-370.439,-741.312,715.189,659.657,722.135,667.438,691.105
81,65.100,-116.0,-143.0,-153.0,-128.0,17.0,17.0,16.0,13.0,-114.0,-143.0,-151.3,-127.3,17.0,17.0,16.0,13.4,-369.601,-743.764,716.632,661.033,723.525,668.911,692.525
82,65.200,-116.0,-143.0,-153.0,-126.0,17.0,17.0,16.0,14.0,-114.4,-143.0,-151.5,-127.3,17.2,17.0,15.9,13.5,-366.990,-742.761,714.990,659.346,721.827,667.320,690.871
83,65.300,-119.0,-143.0,-153.0,-126.0,17.0,17.0,16.0,14.0,-115.0,-143.0,-151.7,-127.1,17.3,17.0,15.8,13.6,-364.852,-742.882,714.318,658.621,721.099,666.696,690.184
84,65.400,-118.0,-143.0,-153.0,-126.0,17.0,17.0,16.0,14.0,-115.6,-143.0,-151.9,-126.9,17.5,17.0,15.7,13.7,-362.302,-741.930,712.741,657.001,719.466,665.171,688.595
85,65.500,-116.0,-145.0,-153.0,-129.0,17.0,17.0,16.0,14.0,-116.1,-143.2,-152.3,-127.2,17.5,17.0,15.8,13.7,-357.126,-742.647,711.444,655.568,718.024,663.993,687.257
86,65.600,-116.0,-145.0,-151.0,-126.0,17.0,17.0,17.0,14.0,-116.4,-143.4,-152.4,-127.2,17.4,17.0,16.0,13.7,-354.173,-741.816,709.827,653.897,716.339,662.439,685.626
87,65.700,-116.0,-145.0,153.0,-126.0,17.0,17.0,38.0,14.0,-116.5,-143.6,-121.9,-127.2,17.2,17.0,18.3,13.7,-412.242,-646.091,666.031,613.902,675.422,617.088,643.111
88,65.800,-117.0,-143.0,-149.0,-126.0,17.0,17.0,15.0,16.0,-116.8,-143.6,-121.7,-127.0,17.1,17.0,18.1,14.0,-413.235,-644.918,665.678,613.613,675.112,616.715,642.779
89,65.900,-116.0,-145.0,152.0,-128.0,17.0,17.0,10.0,13.0,-116.7,-143.8,-91.2,-127.0,17.0,17.0,17.5,14.0,-448.227,-546.699,619.497,571.980,631.485,569.929,598.223
90,66.000,-118.0,-146.0,151.0,-127.0,18.0,18.0,40.0,14.0,-116.8,-144.1,-60.9,-126.8,17.1,17.1,20.0,14.0,-394.678,-456.270,538.893,493.618,551.283,490.275,518.517
91,66.100,-120.0,-148.0,141.0,-126.0,19.0,18.0,44.0,14.0,-117.2,-144.6,-31.5,-126.6,17.3,17.2,22.8,14.1,-315.931,-410.965,474.106,428.225,485.104,427.170,453.651
92,66.200,-120.0,-146.0,-155.0,-127.0,17.0,18.0,15.0,14.0,-117.6,-144.9,-31.7,-126.7,17.3,17.3,22.7,14.1,-313.868,-410.680,472.988,427.040,483.923,426.102,452.513
93,66.300,-120.0,-147.0,-153.0,-128.0,17.0,18.0,16.0,15.0,-117.7,-145.3,-31.7,-126.9,17.3,17.4,22.7,14.2,-310.883,-409.760,471.074,425.059,481.929,424.264,450.581
94,66.400,-121.0,-147.0,-154.0,-129.0,17.0,18.0,17.0,14.0,-118.0,-145.7,-31.8,-127.2,17.3,17.5,22.8,14.2,-307.305,-410.963,470.167,423.939,480.873,423.435,449.603
95,66.500,-119.0,-146.0,-154.0,-126.0,17.0,19.0,16.0,14.0,-118.3,-145.8,-31.9,-126.9,17.3,17.7,22.8,14.2,-306.211,-409.307,468.681,422.505,479.387,421.987,448.140
