X,Y,Z
5.170496817678213120e+00,7.960990740309995317e+00,-4.530388524755835533e+00
5.198451033793389797e+00,7.960990740309995317e+00,-4.538081001490354538e+00
5.223095919936895370e+00,7.960990740309995317e+00,-4.546892732381820679e+00
5.240939139388501644e+00,7.960990740309995317e+00,-4.552773382514715195e+00
5.255219978280365467e+00,7.960990740309995317e+00,-4.557430930435657501e+00
5.269360207952558994e+00,7.960990740309995317e+00,-4.552102616056799889e+00
5.281262933276593685e+00,7.960990740309995317e+00,-4.555511498823761940e+00
5.292903605848550797e+00,7.960990740309995317e+00,-4.558483123779296875e+00
5.303508243523538113e+00,7.960990740309995317e+00,-4.558999193832278252e+00
5.311340773478150368e+00,7.960990740309995317e+00,-4.555430410429835320e+00
5.316227578558027744e+00,8.289074740310013567e+00,-4.551984371617436409e+00
5.314645715057849884e+00,8.945242740309993223e+00,-4.550472471863031387e+00
5.314603639766573906e+00,9.601410740310001302e+00,-4.544735748320817947e+00
5.318264061585068703e+00,1.058566274030999921e+01,-4.536486940458416939e+00
5.319632451049983501e+00,1.156991474030999711e+01,-4.531318234279751778e+00
5.317601834423840046e+00,1.288225074031001327e+01,-4.532405219972133636e+00
5.318073410540819168e+00,1.386650274031001118e+01,-4.536789922043681145e+00
5.311021602712571621e+00,1.485075474031000908e+01,-4.539135087281465530e+00
5.307364406064152718e+00,1.550692274031001716e+01,-4.546439955011010170e+00
5.303347607143223286e+00,1.583500674031000699e+01,-4.538378812372684479e+00
5.301000590436160564e+00,1.616309074030999682e+01,-4.538373285904526711e+00
5.303802050650119781e+00,1.649117474031001507e+01,-4.523664878681302071e+00
5.303203190676867962e+00,1.649117474031001507e+01,-4.519243923947215080e+00
5.301758927293121815e+00,1.649117474031001507e+01,-4.518683424219489098e+00
5.302590210922062397e+00,1.649117474031001507e+01,-4.517194779589772224e+00
5.300475775264203548e+00,1.649117474031001507e+01,-4.518192969262599945e+00
5.301951093599200249e+00,1.649117474031001507e+01,-4.516898080706596375e+00
5.303409705869853497e+00,1.649117474031001507e+01,-4.514400884509086609e+00
5.291522704064846039e+00,1.649117474031001507e+01,-4.513144327327609062e+00
5.278066623024642467e+00,1.649117474031001507e+01,-4.512406017631292343e+00
5.268532655201852322e+00,1.649117474031001507e+01,-4.506762756034731865e+00
5.278627017512917519e+00,1.649117474031001507e+01,-4.520457817241549492e+00
5.275422460399568081e+00,1.649117474031001507e+01,-4.518554093316197395e+00
5.285004941746592522e+00,1.649117474031001507e+01,-4.532982626929879189e+00
5.287379568442702293e+00,1.649117474031001507e+01,-4.535285839810967445e+00
5.295654277317225933e+00,1.649117474031001507e+01,-4.543492900207638741e+00
5.303244507871568203e+00,1.649117474031001507e+01,-4.546689137816429138e+00
5.307867607101798058e+00,1.649117474031001507e+01,-4.555277250707149506e+00
5.313930205069482327e+00,1.649117474031001507e+01,-4.561977868899703026e+00
5.307007013820111752e+00,1.649117474031001507e+01,-4.569255702197551727e+00
5.308972143568098545e+00,1.649117474031001507e+01,-4.573999214917421341e+00
5.302313094958662987e+00,1.649117474031001507e+01,-4.581165289506316185e+00
